VEHICLE NUMBER     CAPACITY
9   200
Cust No     Longitude     Latitude     Demand     Ready Time     Due Time     Service Time
0    113.52581024169922    23.13602638244629    0.0    0.0    12.0    0.0    
1    113.31367492675781    23.1029052734375    5.0    2.21    2.46    0.05    
2    113.21409606933594    23.15157127380371    8.0    9.14    9.54    0.08    
3    113.24755859375    23.14447784423828    8.0    3.04    3.55    0.08    
4    113.30033874511719    23.24317741394043    14.0    3.47    4.35    0.14    
5    113.52751159667969    22.78968620300293    24.0    8.36    8.68    0.24    
6    113.35099792480469    23.143320083618164    26.0    9.45    10.23    0.26    
7    113.289306640625    23.265029907226562    28.0    8.53    9.11    0.28    
8    113.31015014648438    23.288063049316406    11.0    5.86    6.68    0.11    
9    113.82861328125    23.248109817504883    29.0    4.13    4.71    0.29    
10    113.56312561035156    23.56709861755371    29.0    2.73    3.03    0.29    
11    113.47825622558594    23.185216903686523    17.0    0.84    1.42    0.17    
12    113.2975082397461    23.100143432617188    6.0    7.29    7.58    0.06    
13    113.3455810546875    23.452592849731445    28.0    5.2    5.36    0.28    
14    113.5928726196289    23.535110473632812    29.0    8.77    9.08    0.29    
15    113.2911605834961    23.145668029785156    22.0    7.61    7.88    0.22    
16    113.27819061279297    23.174781799316406    30.0    10.13    10.68    0.3    
17    113.25276184082031    23.38625717163086    18.0    3.92    4.1    0.18    
18    113.28658294677734    23.21554946899414    13.0    5.84    6.15    0.13    
19    113.4439926147461    23.118080139160156    14.0    0.13    1.08    0.14    
20    113.35450744628906    23.136831283569336    25.0    0.37    1.34    0.25    
21    113.39665985107422    23.072290420532227    21.0    5.85    6.44    0.21    
22    113.41049194335938    23.064130783081055    10.0    8.17    8.72    0.1    
23    113.45154571533203    23.37933349609375    20.0    3.19    4.04    0.2    
24    113.34517669677734    23.178213119506836    5.0    8.63    8.86    0.05    
25    113.30587768554688    23.105865478515625    23.0    9.07    9.84    0.23    
26    113.6099853515625    23.217103958129883    29.0    5.6    6.36    0.29    
27    113.22172546386719    23.28618621826172    34.0    7.3    8.27    0.34    
28    113.26175689697266    23.247304916381836    24.0    10.13    10.7    0.24    
29    113.39495849609375    23.204330444335938    24.0    3.01    3.72    0.24    
30    113.3134536743164    22.9090518951416    19.0    2.73    3.52    0.19    
