VEHICLE NUMBER     CAPACITY
15   200
Cust No     Longitude     Latitude     Demand     Ready Time     Due Time     Service Time
0    113.90805053710938    22.47207260131836    0.0    4.0    16.0    0.0    
1    114.06607818603516    22.671646118164062    5.0    11.42    11.82    0.05    
2    114.11530303955078    22.588388442993164    8.0    12.5    12.77    0.08    
3    114.15028381347656    22.668371200561523    8.0    6.88    7.36    0.08    
4    113.83934783935547    22.64537239074707    14.0    7.76    8.67    0.14    
5    114.24772644042969    22.60916519165039    24.0    6.66    7.43    0.24    
6    113.96038055419922    22.57033920288086    26.0    5.01    5.91    0.26    
7    113.8048324584961    22.67642593383789    28.0    7.95    8.27    0.28    
8    113.90731048583984    22.472301483154297    11.0    9.11    10.05    0.11    
9    114.25502014160156    22.58898162841797    29.0    6.5    7.48    0.29    
10    114.12572479248047    22.584747314453125    29.0    9.5    9.76    0.29    
11    113.9627685546875    22.570148468017578    17.0    9.28    9.89    0.17    
12    114.12841796875    22.696170806884766    6.0    9.83    10.73    0.06    
13    114.03398132324219    22.691162109375    28.0    12.61    13.29    0.28    
14    114.41121673583984    22.750858306884766    29.0    11.74    12.63    0.29    
15    114.12584686279297    22.584388732910156    22.0    6.16    6.99    0.22    
16    114.15797424316406    22.696609497070312    30.0    9.2    10.12    0.3    
17    114.13955688476562    22.653657913208008    18.0    11.42    11.87    0.18    
18    113.83985900878906    22.743959426879883    13.0    6.22    6.6    0.13    
19    113.78809356689453    22.741851806640625    14.0    13.81    14.12    0.14    
20    113.89440155029297    22.67453956604004    25.0    10.15    10.78    0.25    
21    114.13011932373047    22.682058334350586    21.0    8.71    8.89    0.21    
22    113.83677673339844    22.766456604003906    10.0    5.79    6.55    0.1    
23    113.96031188964844    22.569955825805664    20.0    11.98    12.55    0.2    
24    113.84736633300781    22.777902603149414    5.0    5.86    6.71    0.05    
25    114.30043029785156    22.667932510375977    23.0    12.34    13.21    0.23    
26    114.14845275878906    22.67222023010254    29.0    12.12    12.43    0.29    
27    114.25479125976562    22.589250564575195    34.0    7.51    8.01    0.34    
28    113.87450408935547    22.769350051879883    24.0    10.82    11.61    0.24    
29    114.17394256591797    22.654661178588867    24.0    7.61    8.6    0.24    
30    114.4376449584961    22.62894630432129    19.0    6.52    7.36    0.19    
31    114.12767028808594    22.566614151000977    37.0    13.11    14.01    0.37    
32    114.13025665283203    22.682064056396484    6.0    10.28    11.19    0.06    
33    113.93806457519531    22.554689407348633    14.0    5.41    5.69    0.14    
34    114.27249908447266    22.72342872619629    37.0    6.91    7.81    0.37    
35    114.0086898803711    22.695053100585938    36.0    11.13    11.58    0.36    
36    114.06657409667969    22.71567726135254    15.0    12.34    12.85    0.15    
37    114.06578826904297    22.67263412475586    28.0    11.16    11.51    0.28    
38    114.26122283935547    22.5753173828125    16.0    11.4    11.58    0.16    
39    114.25259399414062    22.7327880859375    33.0    7.34    7.77    0.33    
40    113.9360122680664    22.622499465942383    39.0    13.5    13.8    0.39    
